Unnamed: 0,fighter1,fighter2,winner,weight_class,title_fight,method,end_round,fight_year,win_fighter1,lose_fighter1,draw_fighter1,nc_fighter1,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,born_year_fighter1,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,born_year_fighter2
0,Santiago Ponzinibbio,Neil Magny,1,170.0,f,KO/TKO,4,2018,28,3,0,0,182.88,185.42,1,4.27,39.0,4.02,64.0,0.54,44.0,60.0,0.0,90.32258,1986,21,8,0,0,190.5,203.2,1,3.86,46.0,2.22,56.0,2.62,46.0,60.0,0.3,72.413795,1987
1,Ricardo Lamas,Darren Elkins,1,145.0,f,KO/TKO,3,2018,19,7,0,0,172.72,180.34,1,2.87,45.0,2.61,59.0,1.66,32.0,47.0,1.0,73.07692,1982,25,7,0,0,177.8,180.34,1,3.36,37.0,2.83,53.0,2.68,35.0,57.0,1.3,78.125,1984
2,Johnny Walker,Khalil Rountree Jr.,1,205.0,f,KO/TKO,1,2018,15,3,0,0,195.58,208.28,1,5.37,70.0,3.36,25.0,0.89,100.0,100.0,2.6,83.333336,1992,8,2,0,2,185.42,193.04,0,2.3,34.0,3.29,38.0,0.0,0.0,50.0,0.3,66.666664,1990
4,Marlon Vera,Guido Cannetti,1,135.0,f,SUB,2,2018,12,5,1,0,172.72,177.8,0,3.23,44.0,3.93,52.0,0.78,37.0,68.0,1.3,66.666664,1992,8,5,0,0,167.64,172.72,0,2.8,52.0,1.95,51.0,2.8,50.0,75.0,0.3,61.53846,1979
6,Bartosz Fabinski,Michel Prazeres,0,170.0,f,SUB,1,2018,14,3,0,0,182.88,190.5,1,2.22,70.0,1.35,53.0,7.17,70.0,80.0,0.0,82.35294,1986,26,2,0,0,167.64,170.18,1,2.59,47.0,2.32,60.0,4.22,38.0,47.0,0.7,92.85714,1981
7,Ulka Sasaki,Alexandre Pantoja,0,125.0,f,SUB,1,2018,21,6,2,0,177.8,180.34,0,2.16,41.0,2.5,50.0,3.03,43.0,41.0,1.2,72.413795,1989,20,3,0,0,165.1,170.18,1,4.31,46.0,3.38,59.0,0.75,50.0,60.0,1.8,86.95652,1990
11,Nad Narimani,Anderson Dos Santos,1,145.0,f,DEC,3,2018,12,2,0,0,172.72,177.8,1,4.3,50.0,2.6,65.0,3.5,43.0,100.0,0.0,85.71429,1987,20,7,0,0,170.18,170.18,1,3.07,27.0,5.6,54.0,0.0,0.0,80.0,1.0,74.07407,1985
12,Ryan Bader,Rogerio Nogueira,1,205.0,f,KO/TKO,3,2016,23,5,0,0,187.96,187.96,1,2.82,43.0,1.39,71.0,3.37,44.0,80.0,0.4,82.14286,1983,23,8,0,0,187.96,190.5,0,2.39,34.0,2.24,60.0,0.68,44.0,63.0,0.8,74.19355,1976
13,Albert Morales,Thomas Almeida,0,135.0,f,KO/TKO,2,2016,7,4,1,0,175.26,182.88,1,3.81,35.0,3.96,56.0,0.91,35.0,70.0,0.2,58.333332,1991,22,3,0,0,170.18,177.8,0,5.66,45.0,4.65,64.0,0.0,0.0,75.0,0.0,88.0,1991
14,Cortney Casey,Claudia Gadelha,0,,f,DEC,3,2016,8,6,0,0,170.18,170.18,1,4.8,38.0,4.63,52.0,0.4,30.0,24.0,0.5,57.142857,1987,16,3,0,0,162.56,160.02,1,3.23,42.0,4.47,57.0,3.94,52.0,58.0,1.0,84.210526,1988
15,Thales Leites,Krzysztof Jotko,0,185.0,f,DEC,3,2016,28,9,0,0,185.42,198.12,1,2.13,40.0,2.99,52.0,2.1,27.0,30.0,1.1,75.675674,1981,19,4,0,0,185.42,195.58,0,2.86,44.0,1.89,59.0,1.12,37.0,87.0,0.1,82.608696,1989
16,Warlley Alves,Kamaru Usman,0,170.0,f,DEC,3,2016,13,3,0,0,180.34,182.88,1,2.88,46.0,4.09,49.0,1.22,44.0,80.0,0.9,81.25,1991,13,1,0,0,182.88,193.04,0,3.64,48.0,1.46,63.0,3.85,47.0,100.0,0.3,92.85714,1987
17,Zak Ottow,Sergio Moraes,0,170.0,f,DEC,3,2016,16,6,0,0,180.34,182.88,1,3.05,39.0,2.74,56.0,0.77,30.0,61.0,0.5,72.72727,1986,14,4,1,0,182.88,182.88,1,2.61,45.0,3.26,62.0,1.14,34.0,75.0,0.6,73.68421,1982
18,Cezar Ferreira,Jack Hermansson,1,185.0,f,SUB,2,2016,14,7,0,0,185.42,198.12,0,1.83,42.0,2.14,55.0,2.97,59.0,90.0,0.5,66.666664,1985,17,4,0,0,185.42,195.58,1,4.49,54.0,1.93,63.0,1.99,46.0,69.0,0.3,80.95238,1988
19,Marcos Rogerio de Lima,Gadzhimurad Antigulov,0,205.0,f,SUB,1,2016,16,6,1,0,185.42,190.5,1,3.57,51.0,2.99,53.0,0.9,60.0,40.0,0.9,69.565216,1985,20,5,0,0,180.34,177.8,1,1.78,53.0,5.45,21.0,9.51,50.0,0.0,3.8,80.0,1987
20,Johnny Eduardo,Manvel Gamburyan,1,135.0,f,KO/TKO,2,2016,28,12,0,0,170.18,180.34,1,2.89,38.0,3.34,63.0,0.0,0.0,62.0,0.5,70.0,1978,18,11,0,1,165.1,170.18,1,2.13,41.0,2.83,55.0,3.26,34.0,69.0,0.7,60.0,1981
21,Christian Colombo,Luis Henrique,0,265.0,f,SUB,3,2016,8,3,1,0,195.58,203.2,1,2.76,44.0,4.02,42.0,0.0,0.0,33.0,0.0,66.666664,1980,10,5,0,1,187.96,187.96,1,1.81,43.0,2.22,47.0,3.09,36.0,50.0,1.0,62.5,1993
22,Justin Scoggins,Pedro Munhoz,0,135.0,f,SUB,2,2016,11,5,0,0,170.18,167.64,0,3.56,51.0,2.16,55.0,3.42,63.0,82.0,0.5,68.75,1992,16,3,0,1,167.64,162.56,1,4.79,41.0,5.34,58.0,1.15,21.0,71.0,1.3,80.0,1986
23,Gegard Mousasi,Uriah Hall,1,185.0,f,KO/TKO,1,2016,42,6,2,0,187.96,193.04,1,3.75,50.0,1.21,68.0,1.59,60.0,59.0,1.1,84.0,1985,14,9,0,0,182.88,200.66,1,3.44,52.0,3.61,52.0,0.93,38.0,71.0,0.3,60.869564,1984
24,Stevie Ray,Ross Pearson,1,155.0,f,DEC,3,2016,22,8,0,0,177.8,177.8,0,3.51,45.0,2.55,55.0,0.73,55.0,55.0,0.7,73.333336,1990,22,15,0,1,172.72,175.26,1,3.67,40.0,4.04,62.0,0.75,36.0,75.0,0.0,57.894737,1984
25,Alexander Volkov,Tim Johnson,1,265.0,f,DEC,3,2016,30,7,0,0,200.66,203.2,1,5.31,60.0,2.39,56.0,0.86,75.0,75.0,0.3,81.08108,1988,12,4,0,0,190.5,195.58,0,3.43,45.0,3.08,44.0,1.09,24.0,69.0,0.0,75.0,1985
26,Artem Lobov,Teruto Ishihara,1,145.0,f,DEC,3,2016,14,15,1,1,175.26,165.1,0,3.52,41.0,4.82,50.0,0.39,25.0,52.0,0.0,45.16129,1986,11,6,2,0,170.18,175.26,0,3.21,45.0,3.5,53.0,0.52,16.0,32.0,0.0,57.894737,1991
27,Magnus Cedenblad,Jack Marshman,0,185.0,f,KO/TKO,2,2016,14,5,0,0,195.58,200.66,1,2.38,51.0,3.02,40.0,2.87,64.0,66.0,1.0,73.68421,1982,22,8,0,0,182.88,185.42,1,2.87,31.0,3.78,56.0,0.0,0.0,22.0,0.0,73.333336,1989
28,Ali Bagautinov,Kyoji Horiguchi,0,125.0,f,DEC,3,2016,14,5,0,0,162.56,165.1,1,2.85,42.0,3.09,52.0,2.51,36.0,65.0,0.3,73.68421,1985,18,2,0,0,165.1,167.64,1,3.6,45.0,2.45,62.0,2.0,44.0,55.0,0.0,90.0,1990
29,Kevin Lee,Magomed Mustafaev,1,155.0,f,SUB,2,2016,17,3,0,0,175.26,195.58,1,4.06,45.0,2.96,52.0,3.33,42.0,75.0,1.1,85.0,1992,13,2,0,0,172.72,180.34,1,2.83,54.0,2.93,36.0,0.0,0.0,25.0,0.8,86.666664,1988
30,Anna Elmose,Amanda Cooper,0,,f,DEC,3,2016,3,2,0,0,160.02,165.1,1,3.68,49.0,4.64,56.0,0.0,0.0,33.0,0.0,60.0,1984,4,5,0,0,160.02,162.56,0,3.55,44.0,3.2,51.0,1.53,38.0,28.0,1.8,44.444443,1991
31,Mark Godbeer,Justin Ledet,0,265.0,f,SUB,1,2016,13,4,0,0,193.04,195.58,1,3.97,53.0,3.3,54.0,0.0,0.0,28.0,0.0,76.47059,1983,9,1,0,1,193.04,203.2,1,3.47,41.0,4.34,49.0,0.32,50.0,40.0,0.3,81.818184,1988
32,Zak Cummings,Alexander Yakovlev,1,170.0,f,SUB,2,2016,21,6,0,0,182.88,190.5,0,2.49,30.0,2.86,52.0,1.09,38.0,66.0,0.9,77.77778,1984,23,8,1,0,190.5,187.96,0,1.89,46.0,2.73,56.0,1.23,30.0,72.0,0.0,71.875,1984
33,Marion Reneau,Milana Dudieva,1,,f,KO/TKO,3,2016,9,4,1,0,167.64,172.72,1,3.41,41.0,2.45,67.0,0.26,100.0,52.0,1.2,64.28571,1977,11,5,0,0,160.02,154.94,1,0.87,31.0,3.43,58.0,2.34,45.0,0.0,0.0,68.75,1989
34,Kwan Ho Kwak,Brett Johns,0,135.0,f,DEC,3,2016,9,2,0,0,165.1,177.8,0,3.29,41.0,3.45,47.0,0.78,100.0,26.0,0.0,81.818184,1989,15,2,0,0,170.18,180.34,1,3.41,45.0,4.74,55.0,3.72,48.0,78.0,0.5,88.23529,1992
35,Abdul Razak Alhassan,Charlie Ward,1,170.0,f,KO/TKO,1,2016,10,1,0,0,177.8,185.42,1,4.59,46.0,4.2,59.0,0.57,33.0,53.0,0.0,90.90909,1985,3,3,0,0,180.34,185.42,1,1.64,19.0,7.21,53.0,0.0,0.0,0.0,0.0,50.0,1980
