fighter_id,name,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,last_updated,win%
4,Rolando Dy,9,7,1,1,172.72,145 lbs.,175.26,1,"Aug 11, 1990",3.04,37,4.47,52,0.3,20,68,0.0,2018-11-21 19:35:14.677808,52.94117647058824
5,Jessica Eye,13,6,0,1,167.64,125 lbs.,167.64,1,"Jul 27, 1986",3.42,36,3.32,59,0.59,71,60,0.8,2018-11-21 19:35:17.495278,68.42105263157895
7,Mike Guymon,12,5,1,0,182.88,170 lbs.,187.96,1,"Sep 17, 1974",2.75,65,0.79,66,1.87,37,54,1.2,2018-11-21 19:35:24.753882,66.66666666666666
10,Cris Cyborg,20,1,0,1,172.72,145 lbs.,172.72,1,"Jul 09, 1985",7.02,52,1.79,70,0.85,62,91,0.3,2018-11-21 19:35:36.351918,95.23809523809523
11,Mike Kyle,19,9,1,2,193.04,205 lbs.,195.58,1,"Mar 31, 1980",4.5,51,2.76,54,1.55,62,50,0.9,2018-11-21 19:35:40.545685,65.51724137931035
12,Chris Lytle,31,18,5,0,180.34,170 lbs.,172.72,1,"Aug 18, 1974",3.76,45,3.03,58,0.7,55,55,2.4,2018-11-21 19:35:45.808647,57.407407407407405
14,Kennedy Nzechukwu,5,0,0,0,195.58,205 lbs.,208.28,0,"Jun 13, 1992",7.2,36,5.06,50,0.0,0,71,0.0,2018-11-21 19:35:53.476155,100.0
15,Alptekin Ozkilic,9,4,0,0,165.1,125 lbs.,165.1,1,"Mar 27, 1986",3.81,32,5.72,59,4.21,58,75,0.0,2018-11-21 19:35:57.905297,69.23076923076923
16,Mike Pyle,27,14,1,0,182.88,170 lbs.,187.96,1,"Sep 18, 1975",2.74,45,2.84,60,1.8,35,70,1.5,2018-11-21 19:36:02.13699,64.28571428571429
17,Jose Quinonez,8,2,0,0,172.72,135 lbs.,175.26,0,"Jul 28, 1990",3.26,44,2.32,68,2.88,50,57,1.0,2018-11-21 19:36:05.326466,80.0
18,Michel Quinones,8,3,0,0,177.8,155 lbs.,185.42,1,"Dec 22, 1984",2.91,29,5.98,48,0.0,0,36,0.0,2018-11-21 19:36:09.492357,72.72727272727273
20,Jimmy Quinlan,3,1,1,0,182.88,185 lbs.,182.88,1,"May 25, 1986",2.08,70,5.94,16,4.46,25,0,0.0,2018-11-21 19:36:17.071108,60.0
22,Nate Quarry,12,4,0,0,182.88,185 lbs.,182.88,0,"Mar 18, 1972",4.96,44,2.8,66,0.25,33,60,0.0,2018-11-21 19:36:25.4477,75.0
25,Jens Pulver,25,15,1,0,170.18,145 lbs.,177.8,0,"Dec 06, 1974",2.12,37,3.13,56,0.22,33,63,0.3,2018-11-21 19:36:35.533749,60.97560975609756
28,Juan Puig,11,4,0,0,175.26,145 lbs.,182.88,1,"Apr 23, 1989",4.91,23,7.17,51,0.0,0,0,0.0,2018-11-21 19:36:44.709232,73.33333333333333
30,Claudio Puelles,9,2,0,0,180.34,155 lbs.,182.88,0,"Apr 21, 1996",2.33,38,6.53,49,2.33,23,0,0.8,2018-11-21 19:36:52.163314,81.81818181818183
31,Lucie Pudilova,8,3,0,0,172.72,135 lbs.,170.18,1,"Jun 13, 1994",5.53,39,5.03,53,0.0,0,78,0.5,2018-11-21 19:36:54.111154,72.72727272727273
33,Cole Province,6,2,0,1,175.26,145 lbs.,172.72,1,"Jan 17, 1981",1.47,44,2.72,43,2.4,50,83,1.0,2018-11-21 19:37:02.056876,75.0
